title,company,location,site,match_score,verdict,match_reason,job_url,date_posted
Data Scientist,PayPal,"Bengaluru, Karnataka, India",linkedin,95,excellent,Job title directly matches candidate's target role and aligns well with their skills.,https://www.linkedin.com/jobs/view/4379879116,2026-03-27
Data Scientist,Gradera,"TS, IN",indeed,85,excellent,The role directly matches the candidate's target position and required skills like Python and ML.,https://in.indeed.com/viewjob?jk=b7e8e230ad82fb0c,2026-03-29
"AI Python Full stack engineer, Assistant Vice President",Deutsche Bank,"Bengaluru, Karnataka, India",linkedin,85,excellent,"This position aligns strongly with AI and Python, fitting well with the candidate's profile.",https://www.linkedin.com/jobs/view/4389792124,2026-03-24
Python Developer,GoML,,linkedin,80,excellent,The position in AI/ML and Python aligns with Mohd Anas Ansari's qualifications very well.,https://www.linkedin.com/jobs/view/4389080040,2026-03-23
Data Scientist,Deloitte,"Bengaluru, Karnataka, India",linkedin,80,excellent,Role aligns well with candidate's skills in data science and machine learning.,https://www.linkedin.com/jobs/view/4390573266,2026-03-26
"Software Engineer, ML Systems",eBay,"Bengaluru, Karnataka, India",linkedin,80,excellent,"This job aligns well with AI/ML in e-commerce, matching many of the candidate's skills.",https://www.linkedin.com/jobs/view/4267435259,2026-03-24
Data Scientist,Rakuten Symphony,"Bengaluru, Karnataka, India",linkedin,80,excellent,The position corresponds closely with the required data science skills in the candidate's profile.,https://www.linkedin.com/jobs/view/4390336207,2026-03-25
Python Machine Learning,Infosys,"Bengaluru East, Karnataka, India",linkedin,80,excellent,Role requires machine learning and Python skills which align closely with the candidate's background.,https://www.linkedin.com/jobs/view/4390493193,2026-03-26
Data Scientist,The Versatile Club,"Bengaluru, Karnataka, India",linkedin,75,good,"The responsibilities align well with his skills, but they seek guidance under a senior role which may imply higher experience.",https://www.linkedin.com/jobs/view/4388687852,2026-03-23
AI Software Engineer,DHL,"Indore, Madhya Pradesh, India",linkedin,75,good,This role requires a focus on AI and Python which aligns with the candidate's skills.,https://www.linkedin.com/jobs/view/4390315421,2026-03-27
"Applied Scientist, International Machine Learning",Amazon.com,"KA, IN",indeed,75,good,The job requires machine learning expertise which aligns with the candidate's skills.,https://in.indeed.com/viewjob?jk=f0aeb51e2a474550,2026-01-21
AI Engineer,Ripik.AI,"Noida, Uttar Pradesh, India",linkedin,75,good,"The role ties into industrial AI, which aligns with the candidate’s skill set but may require more experience.",https://www.linkedin.com/jobs/view/4388956628,2026-03-23
Data Science,Reliance Retail,"Navi Mumbai, Maharashtra, India",linkedin,75,good,Position involves applied data science problems that suit the candidate's skills.,https://www.linkedin.com/jobs/view/4364463752,2026-03-23
Data Scientist,PepsiCo,"Hyderabad, Telangana, India",linkedin,75,good,The position requires data science skills relevant to the candidate's expertise.,https://www.linkedin.com/jobs/view/4377714634,2026-03-24
"Applied Scientist, Central Machine Learning",Amazon.com,"TS, IN",indeed,75,good,"The focus on machine learning matches the candidate’s skills, though more experience is desired.",https://in.indeed.com/viewjob?jk=9871f51b700089cc,2025-10-08
Data Scientist,Hermes Corporate,,linkedin,70,good,"The role aligns with data science responsibilities, but specifics on required experience are unclear.",https://www.linkedin.com/jobs/view/4389077195,2026-03-23
AI Scientist,Intuit,"Bengaluru, Karnataka, India",linkedin,70,good,"The job fits within the candidate's skill set, though may focus on more advanced AI tasks.",https://www.linkedin.com/jobs/view/4389537791,2026-03-24
AI/ML Lead,The Versatile Club,"New Delhi, Delhi, India",linkedin,70,good,"Position is for AI/ML lead, which may be too senior for the candidate's experience level.",https://www.linkedin.com/jobs/view/4388698876,2026-03-23
"Software Engineer, AI/ML",Google,"Bengaluru, Karnataka, India",linkedin,70,good,"The role focuses on AI/ML, but requires more experience than the candidate has.",https://www.linkedin.com/jobs/view/4390913792,2026-03-27
AI/ML Engineer,Atom11,,linkedin,70,good,"Role focuses on AI/ML engineering, aligning with the candidate's skills but may require more experience.",https://www.linkedin.com/jobs/view/4388900543,2026-03-23
Data Engineer,S&P Global,"TS, IN",indeed,65,fair,Data engineering role aligns with data handling but lacks a focus on analysis.,https://in.indeed.com/viewjob?jk=d4a93ed9d86ff1d7,2026-03-30
Python ML,Infosys,"Bengaluru East, Karnataka, India",linkedin,65,good,"Job requires ML skills, though candidates may need more domain expertise and experience.",https://www.linkedin.com/jobs/view/4390496193,2026-03-26
Data Scientist,Dhurin,,linkedin,65,good,"The role involves data science in financial services which is relevant, but lacks detail on technical skills requirements.",https://www.linkedin.com/jobs/view/4389079286,2026-03-23
Sr. Computer Vision Engineer (Scene Intelligence and Agentic AI),Conxai Technologies GmbH,"HR, IN",indeed,60,good,Computer Vision role leverages machine learning skills but may require more experience in computer vision specifically.,https://in.indeed.com/viewjob?jk=2e4a6960405ff17f,2026-03-29
AI/ML Developer,Linearloop,"Ahmedabad, Gujarat, India",linkedin,60,good,Requires more experience than the candidate has but relevant to machine learning.,https://www.linkedin.com/jobs/view/4388953741,2026-03-23
Artificial Intelligence Specialist(AI team member),Bennett Coleman & Co. Ltd. (The Times of India),"Pune District, Maharashtra, India",linkedin,60,good,"Involves designing and developing AI solutions, but may require more technical experience.",https://www.linkedin.com/jobs/view/4390130084,2026-03-25
AI Scientist,Saviynt,"Bengaluru, Karnataka, India",linkedin,60,good,Position involves AI systems but may require slightly more experience than the candidate has.,https://www.linkedin.com/jobs/view/4371866203,2026-03-28
